site,impact types,burrow shape,beach slope,sand compaction,sand grain size,inclination angle,burrow depth,average burrow diameter,burrow opening diameter (mm),burrow length,distance to vegetation,burrow temperature,burrow humidity,latitude,longitude,day,month,year
Pawleys Island 1,MI,V,9.23,0.071,0.306404933,62,33,32.54,34,69,14.27,25.31,70.68,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,I,9.23,0.071,0.306404933,62,31,26.29,25,48,20.12,25.18,69.64,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,I,9.23,0.071,0.306404933,54,32,31,32,44,18.83,24.57,67.04,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,Y,9.23,0.071,0.306404933,59,21,19.56,22,37,21.45,24.04,73.03,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,L,9.23,0.071,0.306404933,51,42,45.29,48,59,19.32,23.3,72.82,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,Y,9.23,0.071,0.306404933,51,38,34.45,37,66,11.27,23.32,65,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,I,9.23,0.071,0.306404933,37,46,29.35,33,57,18.32,23.77,64.97,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,Y,9.23,0.071,0.306404933,42,56,49.75,53,86,8.44,22.85,68.14,33.60381167,-79.116491,26,May,2016
Pawleys Island 2,MI,Y,8.89,0.068,0.310619533,52,29,23.9,26,43,22.65,28.41,57.53,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,U,8.89,0.068,0.310619533,47,33,46.44,49,62,11.74,25.1,57.57,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,I,8.89,0.068,0.310619533,60,41,32.33,36,53,28.31,27.8,54.82,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,I,8.89,0.068,0.310619533,51,26,18.63,21,33,4.29,28.21,50.66,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,U,8.89,0.068,0.310619533,46,37,57.45,61,55,13.47,23.41,62.75,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,Y,8.89,0.068,0.310619533,60,20,33.38,37,35,8.56,25.1,60.93,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,Y,8.89,0.068,0.310619533,42,32,26,31,41,17.22,23.71,64.83,33.43046167,-79.10020317,17,July,2016
Folly Beach ,MI,I,4.63,0.084,0.2536632,64,33,27,29,43,6.31,26.24,71.77,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,L,4.63,0.084,0.2536632,61,24,23.33,26,35,9.47,27.45,70.25,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,V,4.63,0.084,0.2536632,48,39,31.42,34,57,17.82,25.99,70.96,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,J,4.63,0.084,0.2536632,52,38,28.8,34,49,26.78,26.92,66.48,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,Y,4.63,0.084,0.2536632,58,38,29.56,31,53,2.51,26.21,67.33,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,I,4.63,0.084,0.2536632,54,27,21.6,26,36,5.47,27.93,67.38,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,J,4.63,0.084,0.2536632,56,19,17,21,29,9.55,28.33,63.7,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,Y,4.63,0.084,0.2536632,68,16,12.2,14,21,2.34,27.02,64.41,32.655176,-79.937956,19,June,2016
