site,impact types,quadrat,julian day,burrow number,burrow density,latitude,longitude,day,month,year
Pawleys Island 1,MI,T3,146,12,0.24,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T3,146,12,0.24,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T3,146,17,0.34,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T4,146,11,0.22,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T4,146,9,0.18,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T4,146,10,0.2,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T5,146,17,0.34,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T5,146,10,0.2,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,T5,146,11,0.22,33.60381167,-79.116491,26,May,2016
Pawleys Island 2,MI,T1,199,21,0.42,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T1,199,16,0.32,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T1,199,17,0.34,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T2,199,15,0.3,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T2,199,10,0.2,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T2,199,8,0.16,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T3,199,8,0.16,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T3,199,4,0.08,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T3,199,12,0.24,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T4,199,5,0.1,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T4,199,7,0.14,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T4,199,5,0.1,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T5,199,9,0.18,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T5,199,5,0.1,33.43046167,-79.10020317,17,July,2016
Pawleys Island 2,MI,T5,199,5,0.1,33.43046167,-79.10020317,17,July,2016
Folly Beach ,MI,T1,171,24,0.48,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T1,171,21,0.42,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T1,171,20,0.4,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T2,171,10,0.2,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T2,171,8,0.16,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T2,171,13,0.26,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T3,171,6,0.12,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T3,171,7,0.14,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T3,171,9,0.18,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T4,171,6,0.12,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T4,171,6,0.12,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T4,171,5,0.1,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T5,171,13,0.26,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T5,171,13,0.26,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,T5,171,13,0.26,32.655176,-79.937956,19,June,2016
Isle of Palm 1,MI,T1,179,31,0.62,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T1,179,22,0.44,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T1,179,28,0.56,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T2,179,8,0.16,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T2,179,10,0.2,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T2,179,7,0.14,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T3,179,8,0.16,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T3,179,5,0.1,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T3,179,7,0.14,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T4,179,8,0.16,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T4,179,6,0.12,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T4,179,4,0.08,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T5,179,16,0.32,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T5,179,14,0.28,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,T5,179,15,0.3,32.79860578,-79.749304,27,June,2016
Edisto Beach,MI,T1,223,23,0.46,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T1,223,19,0.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T1,223,20,0.4,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T2,223,6,0.12,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T2,223,10,0.2,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T2,223,7,0.14,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T3,223,7,0.14,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T3,223,7,0.14,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T3,223,9,0.18,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T4,223,8,0.16,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T4,223,5,0.1,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T4,223,6,0.12,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T5,223,17,0.34,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T5,223,13,0.26,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,T5,223,13,0.26,32.490027,-80.314865,10,August,2016
Surfside Beach 1,HI,T1,164,29,0.58,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T1,164,26,0.52,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T1,164,23,0.46,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T2,164,8,0.16,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T2,164,9,0.18,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T2,164,11,0.22,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T3,164,8,0.16,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T3,164,7,0.14,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T3,164,6,0.12,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T4,164,7,0.14,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T4,164,5,0.1,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T4,164,8,0.16,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T5,164,8,0.16,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T5,164,12,0.24,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,T5,164,12,0.24,33.605265,-78.972067,12,June,2016
Surfside Beach 2,HI,T1,216,18,0.36,33.605265,-78.972067,3,August ,2016
Surfside Beach 2,HI,T1,216,16,0.32,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T1,216,27,0.54,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T2,216,8,0.16,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T2,216,10,0.2,33.605265,-78.972067,3,August,2016
