site,impact types,burrow ID,distance to vegetation (m),burrow temperature,burrow humidity,ambient temperature,ambient humidity,latitude,longitude,day,month,year
Folly Beach ,MI,2,9.47,27.45,70.25,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,3,17.82,25.99,70.96,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,4,26.78,26.92,66.48,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,5,2.51,26.21,67.33,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,6,5.47,27.93,67.38,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,7,9.55,28.33,63.7,30.59,68.01,32.655176,-79.937956,19,June,2016
Folly Beach ,MI,8,2.34,27.02,64.41,30.59,68.01,32.655176,-79.937956,19,June,2016
Isle of Palm 1,MI,1,13.78,23.45,76.24,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,2,18.65,26.72,69.28,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,3,22.64,25.49,72.36,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,4,3.47,24.12,74.42,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,5,8.12,24.51,72.54,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,6,4.55,25.31,73.74,28.13,68.97,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,7,2.68,27.71,61.62,28.13,68.97,32.79860578,-79.749304,27,June,2016
Edisto Beach,MI,1,13.41,26.14,60.27,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,2,18.36,26.41,61.75,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,3,15.24,27.71,63.87,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,4,3.57,26.08,62.21,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,5,6.88,27.87,60.8,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,6,16.31,26.13,61.15,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,7,9.25,24.16,64.64,30.6,59.38,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,8,13.44,27.84,60.07,30.6,59.38,32.490027,-80.314865,10,August,2016
Surfside Beach 1,HI,1,19.57,27.55,58.78,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,2,8.32,26.29,62.55,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,3,2.15,28.98,57.35,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,4,6.77,26.64,61.71,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,5,12.57,27.55,58.44,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,6,9.78,28.44,59.16,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,7,4.66,28.96,57.39,29.89,60.7,33.605265,-78.972067,12,June,2016
Surfside Beach 2,HI,1,9.31,26.84,56.5,31.19,59.35,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,2,15.21,27.84,56.39,31.19,59.35,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,3,1.24,25.69,63.32,31.19,59.35,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,4,7.64,28.16,60.16,31.19,59.35,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,5,4.41,29.01,60.85,31.19,59.35,33.605265,-78.972067,3,August,2016
Sullivan's Island,HI,1,9.31,28.13,59.13,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,2,7.76,28.6,57.48,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,3,16.35,27.92,60.02,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,4,2.28,28.73,57.95,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,5,18.62,29.16,55.25,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,6,12.71,27.06,56.39,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,7,9.36,25.9,59.71,31.37,65.11,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,8,14.78,27.55,66.16,31.37,65.11,32.757513,-79.837562,23,June,2016
Isle of Palm 2,HI,1,12.35,23.91,71.36,30.89,66.52,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,2,8.84,27.06,69.16,30.89,66.52,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,3,13.53,28.73,68.9,30.89,66.52,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,4,16.42,26.29,72.28,30.89,66.52,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,5,11.55,26.47,73.32,30.89,66.52,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,6,3.58,24.32,74.73,30.89,66.52,32.778406,-79.800705,24,July,2016
Burkes Beach,HI,1,8.54,24.66,69.14,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,2,3.47,27.5,63.51,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,3,9.31,26.63,62.13,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,4,4.79,27.7,64.48,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,5,11.63,27.92,63.27,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,6,16.41,28.59,61.88,33.75,61.15,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,7,18.39,25.11,52.05,33.75,61.15,32.192852,-80.696085,20,August,2016
Myrtle Beach 1,HV,1,15.28,24.05,51.38,30.41,49.17,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,2,3.94,28.7,48.46,30.41,49.17,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,3,6.25,24.58,50.09,30.41,49.17,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,4,11.47,23.6,55.41,30.41,49.17,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,5,8.63,27.15,60.72,30.41,49.17,33.735633,-78.824277,29,May,2016
Myrtle Beach 2,HV,1,16.31,29.61,54.44,32.25,52.03,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,2,13.55,26.6,60.54,32.25,52.03,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,3,11.77,28.17,56.04,32.25,52.03,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,4,17.46,27.84,57.41,32.25,52.03,33.688544,-78.882367,20,July,2016
